GenerationFilters.Include	Resource	ShortTitle	Category	Possible Mitigation	References
source is Azure API Management	Azure API Management	An attacker may be able to abuse local administrator accounts in Azure API Management	Elevation of Privilege	"<p>Any local administrative accounts for Azure API Management should be disabled or restricted for emergency use only.  Local authentication should be disabled and users authenticated using Azure AD, assigning appropriate RBAC permissions to these users.</p>"	"<p>How to manage user accounts in Azure API Management: <a href=""https://learn.microsoft.com/en-gb/azure/api-management/api-management-howto-create-or-invite-developers"">https://learn.microsoft.com/en-gb/azure/api-management/api-management-howto-create-or-invite-developers</a></p>"
source is Azure Data Factory	Azure Data Factory	A user may be able to perform actions beyond their role requirements due to failure to apply the principle of least privilege	Elevation of Privilege	"<p>Use Azure's built-in Azure Data Factory roles to assign users the permissions required for their roles.</p>

<p>You can create more restrictive custom roles in Azure AD but these should only be created when required.</p>

"	"<p>Roles and permissions for Azure Data Factory: <a href=""https://learn.microsoft.com/en-us/azure/data-factory/concepts-roles-permissions"">https://learn.microsoft.com/en-us/azure/data-factory/concepts-roles-permissions</a></p> "
target is Azure Data Lake Storage	Azure Data Lake Storage	An adversary may gain unauthorised access to Azure Data Lake Storage in a subscription.	Elevation of Privilege	"<p>Assign the appropriate Role-Based Access Control (RBAC) role to users, groups and applications at the right scope for the Azure Storage instance.  Use ACLs to enforce fine-grained access controls to directories and files.</p>
"	"<p>Access control model in Azure Data Lake Storage: <a href=""https://learn.microsoft.com/en-us/azure/storage/blobs/data-lake-storage-access-control-model"">https://learn.microsoft.com/en-us/azure/storage/blobs/data-lake-storage-access-control-model</a></p>
<p>Access control lists (ACLs) in Azure Data Lake Storage: <a href=""https://learn.microsoft.com/en-us/azure/storage/blobs/data-lake-storage-access-control"">https://learn.microsoft.com/en-us/azure/storage/blobs/data-lake-storage-access-control</a></p> "
target is Azure Data Lake Storage	Azure Data Lake Storage	An adversary can gain unauthorised access to {target.Name} due to weak CORS configuration.	Elevation of Privilege	"<p>Ensure that only specific, trusted origins are allowed.</p>
"	"<p>Cross-Origin Resource Sharing (CORS) support for Azure Storage: <a href=""https://learn.microsoft.com/en-us/rest/api/storageservices/cross-origin-resource-sharing--cors--support-for-the-azure-storage-services"">https://learn.microsoft.com/en-us/rest/api/storageservices/cross-origin-resource-sharing--cors--support-for-the-azure-storage-services</a></p>
<p>Security recommendations for Blob storage: <a href=""https://aka.ms/tmt-th21"">https://aka.ms/tmt-th21</a></p> "
target is Azure Data Lake Storage	Azure Data Lake Storage	An adversary can abuse poorly managed Azure Data Lake Storage account access keys and gain unauthorised access to storage.	Elevation of Privilege	"<p>Use Entra ID with managed identities to authorise requests against storage where possible.  For resources hosted outside of Azure, such as on-premises applications, you can use managed identities through Azure Arc.</p>
<p>Ensure secure management and storage of Azure storage access keys. It is recommended to rotate storage access keys regularly, in accordance with organizational policies.</p>
<p>Shared key authorisation should be disallowed for the storage account where possible.  The Storage Blob Data Owner role can be used to manage ADLS ACLs when shared key authorisation is disabled.</p>
"	"<p>Prevent Shared Key authorization for an Azure Storage account: <a href=""https://learn.microsoft.com/en-us/azure/storage/common/shared-key-authorization-prevent"">https://learn.microsoft.com/en-us/azure/storage/common/shared-key-authorization-prevent</a></p>
<p>Security recommendations for Blob storage: <a href=""https://aka.ms/tmt-th63"">https://aka.ms/tmt-th63</a></p>
<p>Storage Blob Data Owner role: <a href=""https://learn.microsoft.com/en-us/azure/storage/common/shared-key-authorization-prevent"">https://learn.microsoft.com/en-us/azure/storage/common/shared-key-authorization-prevent</a></p>"
target is Azure Data Lake Storage	Azure Data Lake Storage	An adversary can gain access to data within Azure Data Lake Storage due to weak access control restrictions	Elevation of Privilege	"<p>Grant limited access to objects in Azure Storage using Shared Access Signatures (SAS) with a Stored Access Policy (SAP). It is recommended to scope SAS and SAP to permit only the necessary permissions over a short period of time.</p>
<p>A service SAS that is not associate with a stored access policy cannot be revoked.  For this reason, it is recommended to limit the expiry time so that the SAS is valid for one hour or less.</p>
"	"<p>Grant limited access to Azure Storage resources using shared access signatures (SAS): <a href=""https://aka.ms/tmt-th17a"">https://aka.ms/tmt-th17a</a></p>
<p>Define a stored access policy: <a href=""https://learn.microsoft.com/en-us/rest/api/storageservices/define-stored-access-policy"">https://learn.microsoft.com/en-us/rest/api/storageservices/define-stored-access-policy</a></p> "
target is Azure Data Lake Storage	Azure Data Lake Storage	An adversary can gain unauthorised access to Azure Data Lake Storage due to weak network configuration.	Elevation of Privilege	"<p>It is recommended to restrict access to Azure Storage instances to selected networks where possible.</p>

"	"<p>Configure Azure Storage firewalls and virtual networks: <a href=""https://aka.ms/tmt-th140"">https://aka.ms/tmt-th140</a></p>
<p>Connect privately to a storage account using Azure Private Endpoint: <a href=""https://learn.microsoft.com/en-us/azure/private-link/tutorial-private-endpoint-storage-portal"">https://learn.microsoft.com/en-us/azure/private-link/tutorial-private-endpoint-storage-portal</a></p> "
target is Azure Key Vault	Azure Key Vault	"An adversary can gain long term, persistent access to systems due to failure to expire Azure Key Vault keys"	Elevation of Privilege	"<p>Ensure that all the encryption keys available within your Microsoft Azure Key Vault have an expiration time set in order to follow security best practices and promote encryption key rotation. The expiration attribute configured for an encryption key identifies the expiration date and time after which the key must not be used anymore for a cryptographic operations.</p>

<p>Microsoft Azure Key Vault enables you to store and use encryption keys within your Azure cloud environment. By default, the encryption keys stored within a vault never expire. Therefore, it is recommended that you configure all your keys with an explicit expiration time, so that these keys can't be used beyond their assigned lifetime. This should significantly reduce the chance that a compromised key could be used without your knowledge to access valuable Azure cloud resources.</p>

"	"<p>Azure Key Vault basic concepts: <a href=""https://docs.microsoft.com/en-us/azure/key-vault/basic-concepts"">https://docs.microsoft.com/en-us/azure/key-vault/basic-concepts</a></p>
<p>CIS Microsoft Azure Foundations: <a href=""https://azure.microsoft.com/mediahandler/files/resourcefiles/cis-microsoft-azure-foundations-security-benchmark/CIS_Microsoft_Azure_Foundations_Benchmark_v1.0.0.pdf"">https://azure.microsoft.com/mediahandler/files/resourcefiles/cis-microsoft-azure-foundations-security-benchmark/CIS_Microsoft_Azure_Foundations_Benchmark_v1.0.0.pdf</a></p>

<p>Azure CLI Documentation:</p>
<p>az keyvault key: <a href=""https://docs.microsoft.com/en-us/cli/azure/keyvault/key?view=azure-cli-latest"">https://docs.microsoft.com/en-us/cli/azure/keyvault/key?view=azure-cli-latest</a></p>
<p>az keyvault list: <a href=""https://docs.microsoft.com/en-us/cli/azure/keyvault?view=azure-cli-latest#az-keyvault-list"">https://docs.microsoft.com/en-us/cli/azure/keyvault?view=azure-cli-latest#az-keyvault-list</a></p>
<p>az keyvault key list: <a href=""https://docs.microsoft.com/en-us/cli/azure/keyvault/key?view=azure-cli-latest#az-keyvault-key-list"">https://docs.microsoft.com/en-us/cli/azure/keyvault/key?view=azure-cli-latest#az-keyvault-key-list</a></p>
<p>az keyvault key show: <a href=""https://docs.microsoft.com/en-us/cli/azure/keyvault/key?view=azure-cli-latest#az-keyvault-key-show"">https://docs.microsoft.com/en-us/cli/azure/keyvault/key?view=azure-cli-latest#az-keyvault-key-show</a></p>
<p>az keyvault key set-attributes: <a href=""https://docs.microsoft.com/en-us/cli/azure/keyvault/key?view=azure-cli-latest#az-keyvault-key-set-attributes"">https://docs.microsoft.com/en-us/cli/azure/keyvault/key?view=azure-cli-latest#az-keyvault-key-set-attributes</a></p> "
target is Azure Key Vault	Azure Key Vault	An adversary may gain unauthorized access to manage {target.Name} due to weak authorization rules.	Elevation of Privilege	"<p>Access to the Azure Key Vault management plane should be restricted by choosing appropriate Role-Based Access Control (RBAC) roles and privileges in accordance with the principle of least privilege. Over permissive or weak authorization rules may potentially permit data plane access (e.g. a user with Contribute (RBAC) permissions to Key Vault management plane may grant themselves access to the data plane by setting the Azure Key Vault access policy).</p>
"	"<p>Azure Key Vault security: <a href=""https://aka.ms/tmt-th181"">https://aka.ms/tmt-th181</a></p>
<p>Azure Key Vault RBAC support: <a href=""https://docs.microsoft.com/azure/key-vault/general/rbac-guide?tabs=azure-cli"">https://docs.microsoft.com/azure/key-vault/general/rbac-guide?tabs=azure-cli</a></p> "
target is Azure Key Vault	Azure Key Vault	An adversary may gain unauthorized access to {target.Name} secrets due to weak authorization rules	Elevation of Privilege	"<p>Limit Azure Key Vault data plane access by configuring strict access policies. Grant users, groups and applications the ability to perform only the necessary operations against keys or secrets in a Key Vault instance.</p>

<p>Ensure that your Microsoft Azure key vaults are configured to allow access only to trusted Azure subscription in order to protect against unauthorized access. This approach strengthens security by minimizing the risk of unauthorized access to sensitive data stored in Azure key vaults.</p>

<p>It is crucial to avoid cross-subscription access to Azure Key Vault in order to maintain robust security boundaries and prevent unauthorized access to sensitive cryptographic materials. Allowing key vault resources to be accessed from different subscriptions can increase the risk of data breaches by broadening the attack surface and potentially exposing cryptographic assets to unauthorized users or services in other subscriptions.</p>

<p>Follow the principle of least privilege and grant privileges only as needed.</p>

"	"<p>Azure Key Vault security: <a href=""https://docs.microsoft.com/en-us/azure/key-vault/overview-security and https://learn.microsoft.com/en-gb/azure/key-vault/general/security-features"">https://docs.microsoft.com/en-us/azure/key-vault/overview-security and https://learn.microsoft.com/en-gb/azure/key-vault/general/security-features</a></p>

<p>Azure role-based access control (Azure RBAC) vs. access policies (legacy): <a href=""https://learn.microsoft.com/en-us/azure/key-vault/general/rbac-access-policy"">https://learn.microsoft.com/en-us/azure/key-vault/general/rbac-access-policy</a></p>

<p>Provide access to Key Vault keys, certificates and secrets with an Azure role-based access control: <a href=""https://learn.microsoft.com/en-us/azure/key-vault/general/rbac-guide?tabs=azure-cli"">https://learn.microsoft.com/en-us/azure/key-vault/general/rbac-guide?tabs=azure-cli</a></p>

<p>Azure Key Vault authentication: <a href=""https://docs.microsoft.com/azure/key-vault/general/authentication"">https://docs.microsoft.com/azure/key-vault/general/authentication</a></p>

<p>Azure CLI Documentation:</p>
<p>az account list: <a href=""https://docs.microsoft.com/en-us/cli/azure/account?view=azure-cli-latest#az-account-list"">https://docs.microsoft.com/en-us/cli/azure/account?view=azure-cli-latest#az-account-list</a></p>
<p>az keyvault list: <a href=""https://docs.microsoft.com/en-us/cli/azure/keyvault?view=azure-cli-latest#az-keyvault-list"">https://docs.microsoft.com/en-us/cli/azure/keyvault?view=azure-cli-latest#az-keyvault-list</a></p>
<p>az role assignment list: <a href=""https://learn.microsoft.com/en-us/cli/azure/role/assignment?view=azure-cli-latest#az-role-assignment-list"">https://learn.microsoft.com/en-us/cli/azure/role/assignment?view=azure-cli-latest#az-role-assignment-list</a></p>
<p>az role assignment delete: <a href=""https://learn.microsoft.com/en-us/cli/azure/role/assignment?view=azure-cli-latest#az-role-assignment-delete"">https://learn.microsoft.com/en-us/cli/azure/role/assignment?view=azure-cli-latest#az-role-assignment-delete</a></p> "
